,network,campaign,country_code,install,cost,rev_14,event_date,rev_30,is_adwords,is_minter,is_unity,profit,name,pick
21,adwords,4w_HnS_Tier 3_Adjust_V1_170621 (13549287258),Argentina,25791,475.81269999999984,408.1377999999998,92,367.56159999999994,1,0,0,-67.67490000000004,4w_HnS_Tier 3_Adjust_V1_170621 (13549287258)-Argentina-adwords,1.0
22,adwords,4w_HnS_Tier 3_Adjust_V1_170621 (13549287258),Indonesia,15230,298.42560000000014,235.0788000000001,92,214.83760000000004,1,0,0,-63.34680000000006,4w_HnS_Tier 3_Adjust_V1_170621 (13549287258)-Indonesia-adwords,0.0
23,adwords,4w_HnS_Tier 3_Adjust_V1_170621 (13549287258),Malaysia,4799,88.99280000000002,109.18350000000001,92,96.67720000000003,1,0,0,20.190699999999993,4w_HnS_Tier 3_Adjust_V1_170621 (13549287258)-Malaysia-adwords,1.0
24,adwords,4w_HnS_Tier 3_Adjust_V1_170621 (13549287258),Philippines,12655,246.75770000000003,207.7205,92,188.14720000000005,1,0,0,-39.03720000000004,4w_HnS_Tier 3_Adjust_V1_170621 (13549287258)-Philippines-adwords,0.0
25,adwords,4w_HnS_Tier 3_Adjust_V1_170621 (13549287258),Poland,8533,156.29059999999998,236.6176000000001,92,204.6403,1,0,0,80.32700000000011,4w_HnS_Tier 3_Adjust_V1_170621 (13549287258)-Poland-adwords,1.0
26,adwords,4w_HnS_Tier 3_Adjust_V1_170621 (13549287258),Romania,5800,110.61060000000002,112.70180000000002,92,98.36739999999996,1,0,0,2.0912000000000006,4w_HnS_Tier 3_Adjust_V1_170621 (13549287258)-Romania-adwords,1.0
27,adwords,4w_HnS_Tier 4_V1_GP_190521 (13158372413),Colombia,3879,56.54539999999998,68.08120000000001,92,60.149499999999975,1,0,0,11.53580000000003,4w_HnS_Tier 4_V1_GP_190521 (13158372413)-Colombia-adwords,1.0
28,adwords,4w_HnS_Tier 4_V1_GP_190521 (13158372413),Ecuador,1871,33.5747,17.472699999999993,92,15.338100000000003,1,0,0,-16.102000000000007,4w_HnS_Tier 4_V1_GP_190521 (13158372413)-Ecuador-adwords,0.0
29,adwords,4w_HnS_Tier 4_V1_GP_190521 (13158372413),India,1417,21.5012,11.016700000000004,92,9.744799999999998,1,0,0,-10.484499999999997,4w_HnS_Tier 4_V1_GP_190521 (13158372413)-India-adwords,0.0
30,adwords,4w_HnS_Tier 4_V1_GP_190521 (13158372413),Paraguay,722,11.775300000000001,6.546100000000001,92,5.483200000000002,1,0,0,-5.2292000000000005,4w_HnS_Tier 4_V1_GP_190521 (13158372413)-Paraguay-adwords,0.0
31,adwords,4w_HnS_Tier 4_V1_GP_190521 (13158372413),Turkey,12650,156.32389999999998,132.94689999999997,92,119.8401,1,0,0,-23.37700000000001,4w_HnS_Tier 4_V1_GP_190521 (13158372413)-Turkey-adwords,1.0
32,adwords,4w_HnS_Tier 4_V1_GP_190521 (13158372413),Ukraine,6479,102.98759999999999,57.9917,92,51.460799999999985,1,0,0,-44.995899999999985,4w_HnS_Tier 4_V1_GP_190521 (13158372413)-Ukraine-adwords,0.0
33,adwords,4w_HnS_US_GP_V1_240621 (13640552126),United States,19191,5203.7891,3341.1244,92,2909.342899999999,1,0,0,-1862.6646999999998,4w_HnS_US_GP_V1_240621 (13640552126)-United States-adwords,0.0
34,adwords,4w_HnS_VN_Adjust_V1_210821 (14353356643),Viet Nam,35884,674.4226,562.5417999999999,92,519.6274999999999,1,0,0,-111.88080000000014,4w_HnS_VN_Adjust_V1_210821 (14353356643)-Viet Nam-adwords,0.0
35,mintegral,ss_IE_CPI_BRRUID,Russia,238,0.8200000000000003,3.9975999999999994,78,3.5184999999999995,0,1,0,3.177599999999999,ss_IE_CPI_BRRUID-Russia-mintegral,1.0
36,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Argentina,510,2.658500000000001,10.899799999999999,72,9.981999999999998,0,0,1,8.241299999999999,ROAS_030621 (60b886ad8726d52c20efc377)-Argentina-unity_ads,1.0
37,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Australia,61,1.4938,11.331299999999997,31,9.930499999999997,0,0,1,9.837499999999997,ROAS_030621 (60b886ad8726d52c20efc377)-Australia-unity_ads,1.0
38,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Brazil,5413,59.5403,155.229,90,139.50039999999996,0,0,1,95.68870000000001,ROAS_030621 (60b886ad8726d52c20efc377)-Brazil-unity_ads,1.0
39,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Canada,143,3.1537,32.2697,37,28.480100000000004,0,0,1,29.116,ROAS_030621 (60b886ad8726d52c20efc377)-Canada-unity_ads,1.0
40,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Ecuador,1968,20.082900000000002,25.753200000000003,75,23.021600000000003,0,0,1,5.670300000000001,ROAS_030621 (60b886ad8726d52c20efc377)-Ecuador-unity_ads,1.0
41,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Finland,125,2.2364,5.837599999999999,54,5.3513,0,0,1,3.601199999999999,ROAS_030621 (60b886ad8726d52c20efc377)-Finland-unity_ads,1.0
42,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Germany,57,1.0711,6.1302,33,5.6168000000000005,0,0,1,5.059100000000001,ROAS_030621 (60b886ad8726d52c20efc377)-Germany-unity_ads,1.0
43,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Indonesia,74,0.9244000000000001,2.2448999999999995,39,2.03,0,0,1,1.3204999999999993,ROAS_030621 (60b886ad8726d52c20efc377)-Indonesia-unity_ads,1.0
44,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Italy,719,10.3975,29.609499999999997,83,25.891000000000002,0,0,1,19.211999999999996,ROAS_030621 (60b886ad8726d52c20efc377)-Italy-unity_ads,1.0
45,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Japan,72,0.854,14.7882,20,11.8142,0,0,1,13.9342,ROAS_030621 (60b886ad8726d52c20efc377)-Japan-unity_ads,1.0
46,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Mexico,1202,13.7641,35.16479999999999,84,32.24380000000001,0,0,1,21.400699999999993,ROAS_030621 (60b886ad8726d52c20efc377)-Mexico-unity_ads,1.0
47,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Netherlands,122,4.4405,9.7276,43,8.711199999999998,0,0,1,5.287100000000001,ROAS_030621 (60b886ad8726d52c20efc377)-Netherlands-unity_ads,1.0
48,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Peru,274,2.5154,5.319100000000001,52,4.5223,0,0,1,2.8037000000000005,ROAS_030621 (60b886ad8726d52c20efc377)-Peru-unity_ads,1.0
49,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Philippines,57,0.9489000000000002,1.1067999999999998,31,1.0167000000000002,0,0,1,0.1578999999999996,ROAS_030621 (60b886ad8726d52c20efc377)-Philippines-unity_ads,1.0
